id,price_clean,high_price,split,property_type,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,bathrooms,distance_cbd_km,amenity_count,has_pool,has_free_parking,has_air_conditioning,has_kitchen,has_washer,has_dryer
1196729562221530138,327.0,0,test,Entire rental unit,Brimbank,-37.7903,144.834,4,2.0,2.0,2.0,11.634734545530922,51,0,0,1,1,1,1
1196740981653949126,287.0,0,train,Entire rental unit,Brimbank,-37.79006,144.83315,4,2.0,2.0,2.0,11.713504079142124,51,0,0,1,1,1,1
1196746355874486282,382.0,0,test,Entire rental unit,Brimbank,-37.79105,144.83185,6,3.0,3.0,2.0,11.800905225876058,51,0,0,1,1,1,1
1196761748016703949,238.0,0,train,Entire rental unit,Melbourne,-37.820944562581346,144.95620395988226,5,1.0,2.0,1.0,1.016809955470786,34,0,0,1,1,1,0
1196978232165876999,226.0,0,train,Entire rental unit,Melbourne,-37.8102191,144.966267,4,1.0,2.0,1.0,0.4676883561559573,32,1,0,1,1,1,1
1197347898497817953,362.0,0,train,Entire home,Wyndham,-37.9091221,144.7417292,8,4.0,4.0,2.5,22.146987830505346,41,0,1,1,1,1,0
1197396817099102597,283.0,0,train,Entire rental unit,Melbourne,-37.8133407,144.9681565,2,1.0,1.0,1.5,0.44512468945569467,42,0,1,1,1,1,1
1197420946504379640,718.0,1,train,Entire townhouse,Melbourne,-37.8199695,144.9454993,12,4.0,5.0,2.0,1.7005763341797435,51,0,1,1,1,1,1
1197430835058249608,383.0,0,train,Entire condo,Melbourne,-37.820163792595906,144.95367365565392,6,2.0,3.0,2.0,1.1037745171396844,44,0,1,0,1,1,1
1197492068185594706,249.0,0,test,Entire rental unit,Whitehorse,-37.81835,145.11882,2,1.0,1.0,1.0,13.689001693331681,45,1,0,1,1,1,1
